"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Carcharhinidae","Galeocerdo","cuvier",98.503,124.197,72.81,194.11,211.38,228.66
"Sphyrnidae","Sphyrna","lewini",57,76.117,37.884,149.63,168.34,187.06
"Carcharhinidae","Carcharhinus","albimarginatus",32.193,49.29,15.24,107.03,132.73,156.29
"Rhinidae","Rhynchobatus","australiae",21.086,21.086,21.086,144,144,144
"Carcharhinidae","Carcharhinus","plumbeus",17.461,34.178,7.698,87.47,112.71,143.49
"Carcharhinidae","Carcharhinus","limbatus",12.991,12.991,12.991,108.4,108.4,108.4
"Serranidae","Epinephelus","tukula",10.14,10.14,10.14,87.06,87.06,87.06
"Lutjanidae","Aprion","virescens",7.626,7.626,7.626,80.9,80.9,80.9
"Rachycentridae","Rachycentron","canadum",5.965,5.965,5.965,76.06,76.06,76.06
"Orectolobidae","Orectolobus","sp1",5.754,5.754,5.754,94.96,94.96,94.96
"Ariidae","Netuma","thalassina",5.688,6.696,4.134,59.56,67.44,72.42
"Carangidae","Caranx","ignobilis",5.473,8.923,1.069,37.29,61.37,74.17
"Serranidae","Epinephelus","multinotatus",4.983,7.064,3.357,61.55,69.58,79.11
"Carangidae","Seriola","dumerili",4.792,37.438,0.613,29.64,55.33,128.31
"Carcharhinidae","Triaenodon","obesus",4.753,4.753,4.753,83.26,83.26,83.26
"Lethrinidae","Lethrinus","olivaceus",4.616,8.187,1.045,39.5,60.41,81.32
"Scombridae","Scomberomorus","spp",4.27,8.091,0.449,32.47,58.56,84.66
"Serranidae","Epinephelus","coioides",3.957,3.957,3.957,59.17,59.17,59.17
"Carcharhinidae","Loxodon","macrorhinus",3.642,6.253,1.694,49.01,61.46,74.68
"Lutjanidae","Aphareus","furca",2.887,3.149,2.735,54.98,56,57.75
"Serranidae","Variola","louti",2.874,3.331,2.388,43.74,46.35,48.72
"Tetraodontidae","Arothron","stellatus",2.785,2.785,2.785,47.57,47.57,47.57
"Carcharhinidae","Rhizoprionodon","acutus",2.754,2.754,2.754,82.48,82.48,82.48
"Lutjanidae","Pristipomoides","filamentosus",2.735,3.749,0.703,33.41,53.82,62.23
"Haemulidae","Plectorhinchus","gibbosus",2.433,2.433,2.433,49.98,49.98,49.98
"Lutjanidae","Lutjanus","sebae",2.235,5.978,0.132,19.8,44.06,64.97
"Sparidae","Chrysophrys","auratus",2.128,2.128,2.128,47.3,47.3,47.3
"Carcharhinidae","Prionace","glauca",1.987,1.987,1.987,59.34,59.34,59.34
"Scaridae","Scarus","ghobban",1.98,3.053,1,34.12,42.3,49.55
"Carcharhinidae","Carcharhinus","sp10",1.948,2.549,0.869,45.54,57.68,64.25
"Tetraodontidae","Lagocephalus","sceleratus",1.857,3.251,0.479,32.47,50.72,62.51
"Carangidae","Gnathanodon","speciosus",1.852,7.774,0.28,24.26,41.35,73.61
"Carangidae","Carangoides","fulvoguttatus",1.843,7.506,0.359,27.43,44.27,80.96
"Lethrinidae","Lethrinus","nebulosus",1.671,3.004,0.277,24.64,43.83,54.63
"Haemulidae","Diagramma","pictum labiosum",1.608,4.433,0.39,30.43,47.51,68.66
"Lutjanidae","Pristipomoides","multidens",1.565,7.719,0.163,19.52,40.66,72.84
"Tetraodontidae","Lagocephalus","lunaris",1.548,2.01,0.99,30.3,34.78,38.19
"Acanthuridae","Acanthurus","mata",1.405,1.67,1.247,38.35,39.87,42.36
"Glaucosomatidae","Glaucosoma","buergeri",1.396,1.396,1.396,43.54,43.54,43.54
"Carangidae","Caranx","papuensis",1.325,1.325,1.325,42.08,42.08,42.08
"Lethrinidae","Lethrinus","miniatus",1.295,3.736,0.311,26.73,40.28,57.06
"Triakidae","Hemitriakis","falcata",1.257,1.612,0.545,46.78,60.73,66.58
"Triakidae","Hypogaleus","hyugaensis",1.13,1.13,1.13,59.3,59.3,59.3
"Sparidae","Argyrops","spinifer",1.061,3.225,0.21,14.78,27.98,44.92
"Carangidae","Seriola","rivoliana",1.054,2.106,0.351,31.31,41.72,55.12
"Carangidae","Seriolina","nigrofasciata",1.006,1.89,0.327,27.02,38.15,48.49
"Lethrinidae","Gymnocranius","grandoculis",0.994,3.572,0.232,21.78,34.95,56.2
"Serranidae","Epinephelus","morrhua",0.979,1.452,0.293,25.35,38.8,46.67
"Carangidae","Carangoides","gymnostethus",0.978,2.635,0.276,23.69,36.01,53.87
"Lethrinidae","Gymnocranius","euanus",0.966,1.255,0.319,24.01,34.62,38.17
"Carangidae","Carangoides","chrysophrys",0.917,3.704,0.107,17.4,34.77,59.44
"Balistidae","Abalistes","stellatus",0.852,1.374,0.192,20.94,33.96,40.88
